row_id,RVI_T45,RVI_T30,RVI_T0
0,0.7423276923330623,0.779858842634463,0.8761443897652752
1,0.4733622112752111,0.30235686104065734,0.332090091687412
2,0.8977929421618627,0.7926255017936722,0.8010291842696258
3,0.9872088806479556,0.9320840073890708,0.8283033321886021
4,0.8399349398723895,0.7126111758863727,0.7499661860680025
5,0.6510965926521344,0.768963230778879,0.5279636483411508
6,0.818096940777504,0.8606358184881188,0.7918986368822586
7,0.7803848163352014,0.8127813010471046,0.8406902829930613
8,0.8278843947019919,0.6729368346630201,0.7469359792143366
9,0.8422179350968727,0.8313698366795782,0.803785401129229
10,0.7680557501096633,0.8115142224395869,0.6938292797680954
11,0.8698398884763054,0.9987559585424252,0.6976305021633311
12,0.8719044726835665,1.0515833043257024,1.0322710761814269
13,0.9120065500464825,0.8702646396212682,0.8266574096004959
14,1.090206548539882,0.8946323122740508,0.8778689734258289
15,0.9187417540800746,0.9946006201991833,0.6904307662821746
16,0.9241687491005064,0.7954719099215609,0.9990814018020436
17,0.7605637068559271,0.7181574677306347,0.9349852206790064
18,0.8397923719084912,0.8714303211663017,0.8656901244179436
19,0.5930834232594734,0.6970714187290874,0.5832459343740769
20,0.8329461252896523,0.7522528262845315,0.6991706283239059
21,0.7485567393600154,0.7839325357148155,0.7151463570347054
22,0.6147370674962227,0.9067749298717336,0.7739459533159982
23,0.7533961740557147,0.8870016309706296,0.8524686546443426
24,0.2612444675060092,0.3751272145145952,0.25387229426014585
25,0.78252165215997,0.7721480818541275,0.884510706076357
26,0.9637478506400956,0.7744662317127382,0.807280370354275
27,0.8116526430963544,0.6803617352612935,0.8068308836330875
28,0.6270926506258451,0.24048634582729603,0.7940410633601446
29,0.6601619265919658,0.7520457259720194,0.6845939252162048
30,0.8438733584331759,0.7285740559988099,0.79138845466616
31,1.020510807978647,0.7566252885895568,0.8172349422008203
32,0.8047676221021431,0.8966600537103387,0.9458877418104286
33,0.7380312045807716,0.7164822447615721,0.7932494124299773
34,0.9174430724319713,0.8269561264567422,0.7259528723112767
35,1.090661890336647,1.1957652561867753,0.8804666809248282
